t_name,discipline,noc,event,c_id
Japan,Hockey,Japan,Men,6
Canada,Baseball/Softball,Canada,Softball,8
Islamic Rep. of Iran,Volleyball,Islamic Republic of Iran,Men,9
Saudi Arabia,Football,Saudi Arabia,Men,12
United States,Football,United States of America,Women,16
Netherlands,Hockey,Netherlands,Women,17
Japan,Hockey,Japan,Women,18
Sweden,Handball,Sweden,Women,20
Fiji,Rugby Sevens,Fiji,Men,21
Argentina,Football,Argentina,Men,29
Puerto Rico,Basketball,Puerto Rico,Women,30
United States,Baseball/Softball,United States of America,Softball,32
Norway,Handball,Norway,Men,33
India,Hockey,India,Women,34
Hungary,Water Polo,Hungary,Women,35
Israel,Artistic Swimming,Israel,Duet,36
Italy,Volleyball,Italy,Men,37
Australia,Basketball,Australia,Women,41
United States,Rugby Sevens,United States of America,Women,42
Nigeria,Basketball,Nigeria,Men,43
New Zealand,Rugby Sevens,New Zealand,Women,45
ROC,Volleyball,ROC,Women,47
Canada,Rugby Sevens,Canada,Women,49
Argentina,Handball,Argentina,Men,50
Netherlands,Hockey,Netherlands,Men,51
Italy,Water Polo,Italy,Men,52
Mexico,Baseball/Softball,Mexico,Softball,53
Japan,Baseball/Softball,Japan,Softball,54
Egypt,Artistic Swimming,Egypt,Team,58
Greece,Artistic Swimming,Greece,Team,60
Republic of Korea,Baseball/Softball,Republic of Korea,Baseball,62
Republic of Korea,Basketball,Republic of Korea,Women,63
India,Hockey,India,Men,64
France,Basketball,France,Men,65
France,Rugby Sevens,France,Women,67
Angola,Handball,Angola,Women,69
Brazil,Volleyball,Brazil,Men,70
Ireland,Hockey,Ireland,Women,71
ROC,Artistic Swimming,ROC,Duet,72
Australia,Hockey,Australia,Women,73
Spain,Football,Spain,Men,75
Kenya,Volleyball,Kenya,Women,76
Brazil,Handball,Brazil,Men,77
Brazil,Handball,Brazil,Women,87
Ireland,Rugby Sevens,Ireland,Men,91
Egypt,Artistic Swimming,Egypt,Team,94
Hungary,Handball,Hungary,Women,95
South Africa,Hockey,South Africa,Men,99
France,Artistic Swimming,France,Duet,100
Honduras,Football,Honduras,Men,102
Italy,Artistic Swimming,Italy,Team,104
Australia,Water Polo,Australia,Men,105
Argentina,Volleyball,Argentina,Women,108
Israel,Baseball/Softball,Israel,Baseball,109
Great Britain,Rugby Sevens,Great Britain,Women,112
United States,Rugby Sevens,United States of America,Men,113
United States,Artistic Swimming,United States of America,Duet,114
Spain,Artistic Swimming,Spain,Team,117
Fiji,Rugby Sevens,Fiji,Women,118
Canada,Hockey,Canada,Men,119
ROC,Water Polo,ROC,Women,120
Dominican Rep.,Baseball/Softball,Dominican Republic,Baseball,121
Colombia,Artistic Swimming,Colombia,Duet,123
France,Basketball,France,Women,124
Sweden,Football,Sweden,Women,125
Tunisia,Volleyball,Tunisia,Men,126
Italy,Artistic Swimming,Italy,Team,128
France,Handball,France,Men,129
